msr_id,city,state
19867106030740,MACEIO,AL
417304184692,SAO PAULO,SP
423973888832,BELO HORIZONTE,MG
377360227291,MAUA,SP
422083577671,SAO PAULO,SP
1900755559587,RIO DE JANEIRO,RJ
19416959892756,CHAPECO,SC
386246397531,SAO PAULO,SP
400047294512,RIO DE JANEIRO,RJ
10078188825620,ARRAIAL D AJUDA,BA
408549598811,MAUA,SP
19611969336852,CAMPO LARGO,PR
13812813388948,VILA VELHA,ES
423143835372,JOAO PESSOA,PB
406586211691,BETIM,MG
404963541951,SOUSA,PB
27550010843668,LONDRINA,PR
401883750651,CARAPICUIBA,SP
378565438672,CUIABA,MT
25501597143572,BOTUCATU,SP
423089297871,RIO DE JANEIRO,RJ
4648979969684,PORTO SEGURO,BA
24990382400404,RIO DE JANEIRO,RJ
422842594311,RIO DE JANEIRO,RJ
377293899972,RECIFE,PE
408151169292,SALGUEIRO,PE
377364481431,CASCAVEL,PR
419137873212,ITAJAI,SC
1902727934367,MACAE,RJ
8910842542484,MAGE,RJ
377726829971,SAO PAULO,SP
1903726870867,FORTALEZA,CE
16932195977620,FERRAZ DE VASCONCELOS,SP
399112065612,CURITIBA,PR
406986847771,RIO DE JANEIRO,RJ
404886926831,SAO BERNARDO DO CAMPO,SP
1900703885967,SAO PAULO,SP
1901921132987,AVARE,SP
401633569871,CARIACICA,ES
28088403428884,RIO DE JANEIRO,RJ
422583985491,MANAUS,AM
421298220191,SANTANA DE PARNAIBA,SP
1901921128027,NITEROI,RJ
5673746825748,SALVADOR,BA
400885489511,CURITIBA,PR
412529215751,FORTALEZA,CE
414719872072,BELO HORIZONTE,MG
422193194591,BRASILIA,DF
25356315598356,RIO DE JANEIRO,RJ
16903208194452,SOROCABA,SP
377363627371,CAMPOS DOS GOYTACAZES,RJ
7273197846548,BELEM,PA
10325300313108,GUARAPUAVA,PR
415689220411,GOIANIA,GO
26130995943188,MANAUS,AM
28218525700628,SANTO ANDRE,SP
377351766311,RECIFE,PE
17826401039124,JOINVILLE,SC
9648119218580,SALVADOR,BA
24725141583124,SAO PAULO,SP
14705678988564,SAO PAULO,SP
420740486751,ITUMBIARA,GO
24958208180756,SAO PAULO,SP
5847326153748,PRATAPOLIS,MG
377363036831,BELO HORIZONTE,MG
17463907612052,ANGRA DOS REIS,RJ
400269115232,FOZ DO IGUACU,PR
423868119791,PELOTAS,RS
401537637751,RIO DE JANEIRO,RJ
389644203071,RIO DE JANEIRO,RJ
404770605712,SAO PAULO,SP
26915930301844,FRANCO DA ROCHA,SP
26067158240788,FOZ DO IGUACU,PR
420517900892,BLUMENAU,SC
380714511711,FRANCISCO MORATO SP ,SP
8048660041108,INDAIATUBA,SP
8702267497876,VALPARAISO DE GOIAS,GO
26847615549076,PALOTINA,PR
399887620972,ITAJUBA,MG
13090099548436,SAO PAULO,SP
18404729806740,FRANCISCO MORATO,SP
8090435602708,BELO HORIZONTE,MG
399168114831,SAO PAULO,SP
1900078057927,CURITIBA,PR
421073684871,SALVADOR,BA
408947808572,NOVA IGUACU,RJ
386308895072,GUAIBA ,RS
1902516460347,RIO DE JANEIRO,RJ
410937362071,JUNDIAI,SP
14702803696660,JUNDIAI,SP
389299644112,SAO PAULO,SP
402890311512,SAO PAULO,SP
415689829511,SERTAOZINHO,SP
404185662991,SAO PAULO,SP
1904009806107,SAO GONCALO,RJ
402042120832,CANOAS,RS
378565454252,SALVADOR,BA
412341491112,BRASILIA,DF
421867529092,PORTO ALEGRE,RS
15566597171092,ARACRUZ,ES
1905587953587,BAURU,SP
377359958911,ANDRADINA,SP
18923731315348,GOIANIA,GO
421201020472,NOVA SERRANA,MG
419199356611,CUBATAO,SP
409210365732,SAO PAULO,SP
10862079825556,VILA VELHA,ES
15062967617300,MACEIO,AL
17417498115604,REBOUCAS,PR
399112025892,SAO PAULO,SP
27500881025684,SUZANO,SP
377357300571,CAMPINA GRANDE,PB
17742030872980,RIO DE JANEIRO,RJ
403824047872,RIO DE JANEIRO,RJ
403001525951,SAO JOSE DOS CAMPOS,SP
408536501851,MANAUS,AM
24578665943956,FORTALEZA,CE
385725712712,POA,SP
14426484441620,BRASILIA,DF
25904575100564,SAO BERNARDO DO CAMPO,SP
407987437871,SAO JOAQUIM DA BARRA,SP
407879051991,FORTALEZA,CE
12475384142484,SAO PAULO,SP
393739013171,JOINVILLE,SC
403619478071,NOVA IGUACU,RJ
8126610158612,BELO HORIZONTE,MG
10869815099796,CAMPINAS,SP
402205981391,CARAPICUIBA,SP
27993754006036,FRANCO DA ROCHA,SP
16595181486612,SAO GONCALO,RJ
399174459391,SAO PAULO,SP
410074891332,SAO PAULO,SP
15428998076564,APARECIDA DE GOIANIA,GO
421772947932,SALVADOR,BA
13733204584724,FORTALEZA,CE
399736024852,SAO PAULO,SP
423301328972,JUAZEIRO DO NORTE,CE
28393531527956,BRASILIA,DF
392179739112,SAO PAULO,SP
25071486345108,PIRAJU,SP
420472550571,BRASILIA,DF
406646850292,RIO DE JANEIRO,RJ
422316848252,PEDERNEIRAS,SP
25088269908116,MACEIO,AL
410936484171,CAXIAS DO SUL,RS
13632447258772,CURITIBA,PR
9198553495700,CAMPINAS,SP
377300909652,RECIFE,PE
24424269901204,BELO HORIZONTE,MG
385106315992,TAUBATE SP,SP
419452316171,SALVADOR,BA
411021766932,RECIFE,PE
419097843831,SAO PAULO,SP
23950732252948,SAO PAULO,SP
1902654761107,RIO DAS OSTRAS,RJ
418812221531,BARUERI,SP
411779456511,SAO PAULO,SP
8569341602836,SAO PAULO,SP
424130024611,SUMARE,SP
22155170135828,SAO PAULO,SP
417981579912,SAO PAULO,SP
24974877564436,GOIANIA,GO
377297138432,SAO VICENTE,SP
14426484442004,PORTO ALEGRE,RS
28165743781396,CURITIBA,PR
12463205905812,SAO PAULO,SP
408211001031,PORTO ALEGRE,RS
4920354320660,TOBIAS BARRETO,SE
385498469912,DIADEMA,SP
28203957787156,PEDRINOPOLIS,MG
400312395511,PORTO ALEGRE,RS
15560928914196,RIO DE JANEIRO,RJ
410211046872,SERRA,ES
408496888691,CURITIBA,PR
410006075372,SAO GONCALO,RJ
406285922071,FLORIANOPOLIS,SC
412668539531,OSASCO,SP
421772947972,ALEGRE,ES
420308808252,INTERNACIONAL,INT
10451195185428,PORCIUNCULA,RJ
12175672057876,NITEROI,RJ
377357296631,SAO PAULO,SP
1903393009247,CAMPINAS,SP
416433176452,SOORETAMA,ES
13422185370388,RIO DE JANEIRO,RJ
1903489521507,CAXIAS DO SUL,RS
1900077951667,FORTALEZA,CE
377300489532,VITORIA,ES
379508631832,FORTALEZA,CE
377299955992,RIO DE JANEIRO,RJ
399383367692,BRASILIA,DF
1902119883687,CURITIBA,PR
377356729971,SAO BERNARDO DO CAMPO,SP
412755805671,BRASILIA,DF
417460563952,QUEDAS DO IGUACU,PR
19249334141204,SAO PAULO,SP
7273668654740,RIO DE JANEIRO,RJ
420497675511,SAO PAULO,SP
401903479731,CURITIBA,PR
423127180212,GUARULHOS,SP
412442955052,INDAIATUBA,SP
405886557192,RUBIATABA,GO
19020969130516,SAO PAULO,SP
410608198191,PETROPOLIS,RJ
13089653558420,SALVADOR,BA
25347434463636,SAO JOSE DO RIO PRETO,SP
15590857179284,OURO PRETO,MG
423191596591,PORTO ALEGRE,RS
377297114832,SAO BERNARDO DO CAMPO,SP
401345827171,ACARA,PA
10080839876500,GOIANIA,GO
16241066114068,SAO PAULO,SP
22296725707668,SAO VICENTE,SP
1902657422727,RECIFE,PE
423243892552,SAO PAULO,SP
27524678207636,CAUCAIA,CE
408469233392,SAO PAULO,SP
415857444651,MONSENHOR GIL,PI
23347450224916,RIO DE JANEIRO,RJ
14771601771284,SAO PAULO,SP
21992033074324,CUIABA,MT
7273197846676,CAPIVARI,SP
377364494231,OSASCO,SP
400408750992,JOINVILLE,SC
16580808063636,RIO DE JANEIRO,RJ
377301427192,APARECIDA DE GOIANIA,GO
377300512112,RIO DE JANEIRO,RJ
377300837692,BELO HORIZONTE,MG
377363697851,SALVADOR,BA
415689829451,SAO PAULO,SP
411009671352,PARATY,RJ
378611936191,SAO PAULO,SP
388339019572,INDAIATUBA,SP
6664846242836,RIO DE JANEIRO,RJ
10168058755220,PETROPOLIS,RJ
410103949991,RIO DE JANEIRO,RJ
27186431738004,CURITIBA,PR
6515524074644,GOIANIA,GO
26116534718996,MOGI DAS CRUZES,SP
423357380512,RIO DE JANEIRO,RJ
26067028449300,PALHOCA,SC
25957594326932,SAO PAULO,SP
28523263202964,CURITIBA,PR
421773233932,BELO HORIZONTE,MG
406149242691,GUAXUPE,MG
7980933645972,NITEROI,RJ
6332533189524,SANTOS,SP
12291794134548,IBIRAREMA,SP
5129300034452,SOBRAL,CE
15771159246484,PAULISTA,PE
386602744951,SAO JOAO DE MERITI,RJ
419390721831,SAO PAULO,SP
418446286772,SAO PAULO,SP
1903623485827,BELO HORIZONTE,MG
4840953052948,MONTEIRO LOBATO,SP
421385203171,GUARULHOS,SP
382820976771,FLORIANOPOLIS,SC
412528216471,BRASILIA,DF
409117717671,FORTALEZA,CE
1903624022187,SAO PAULO,SP
26576222803732,RIO DE JANEIRO,RJ
409254401052,CONTAGEM,MG
24589997569428,PALMEIRAS,BA
377297161512,FORTALEZA,CE
24664294229268,SAO PAULO,SP
18835305784084,RECIFE,PE
418117186552,VIAMAO,RS
8174117459988,VARGINHA,MG
13362940715412,UBERLANDIA,MG
377363044231,SAO PAULO,SP
26545954113940,BELO HORIZONTE,MG
19419180310676,BELFORD ROXO,RJ
27504810731668,ANASTACIO,MS
27720079326228,RIO BONITO,RJ
17418903729300,SALVADOR,BA
421033305031,FLORIANOPOLIS,SC
19679389628180,PORTO ALEGRE,RS
6364164336148,AGUAS DA PRATA,SP
377363893791,SAO PAULO,SP
377297039812,SAO PAULO,SP
24833303636116,RIO DE JANEIRO,RJ
28621900373524,CARIACICA,ES
384960840911,RIO DE JANEIRO,RJ
23140783841556,BARRA MANSA,RJ
407014926051,FRANCA,SP
417991425172,SAO PAULO,SP
18854417666580,SALVADOR,BA
407695989531,PRAIA GRANDE,SP
1904151882947,SALVADOR,BA
382669929811,ARACAJU,SE
14426515288852,RIO DE JANEIRO,RJ
7952564418196,FLORIANOPOLIS,SC
4607885420052,CAMPINA GRANDE,PB
27575708645908,JUNDIAI,SP
420392896732,GOIANIA,GO
27231423122580,BRASILIA,DF
422641147952,TABOAO DA SERRA,SP
377293598132,CAMPINAS,SP
9093536394516,ANAPOLIS,GO
5545351421716,SAO PAULO,SP
15934838739604,GOIANIA,GO
16793043653396,EMBU DAS ARTES,SP
